Sample,Candida theae,Mesorhizobium kowhaii,Xenophilus sp. L33,Candidatus Gallionella acididurans,uncultured bacterium IN-06,Mucilaginibacter sp. OK098,Verrucomicrobium sp. GAS474,Candidatus Peregrinibacteria bacterium CG_4_10_14_0_2_um_filter_38_24,Verrucomicrobia bacterium Tous-C9LFEB,Verrucomicrobia bacterium LW23,Ramlibacter sp. 18x22-1,Tardiphaga sp. vice278,Microvirga thermotolerans,Mesorhizobium loti,Microvirga lupini,uncultured bacterium Bio7,Pinus canariensis,Oxytricha granulifera,Freesia hybrid cultivar,Streptomyces chlorus,clay_depth,sand_depth,silt_depth,pH_depth,coarse_depth,soilclass,soiltemp0to7cm,temp,totalrain,soilwater0to7cm,totalrain_long,temp_long,soiltemp_0_7_long,soilwater_0_7_long,temp_diff,rain_diff,soiltemp0to7cm_diff,soilwater0to7cm_diff,bulk_depth,Habitat,cation_depth,nitro_depth,orgcarbon_depth
G2733,0,488,447,113,0,464,632,0,1162,1173,95,82,158,631,65,0,0,0,0,0,31.6,34.6,33.7,5.3,0.87,3,15.54,15.65,6.75E-05,0.4,0.000676677,15.67,15.69,0.41,-0.020409598,-0.00060918,-0.14974195,-0.008419853,0.82,Tropical_montane_forests,27.3,5.29,89.6
G2736,0,396,491,134,0,186,142,1,223,235,66,131,149,512,60,2,0,0,0,0,33.2,29.2,37.6,5.4,1.09,3,19.07,18.78,0.000153399,0.44,0.000534534,17.7,18.09,0.44,1.082276144,-0.000381135,0.981844283,-0.004579345,0.85,Tropical_montane_forests,25.6,5.86,101.7
G2742,0,513,502,116,0,360,249,0,393,442,61,73,123,555,64,2,0,0,0,0,34,33.9,32.1,5.2,0.66,6,18.09,17.54,0.000160748,0.37,0.000430941,17.57,17.5,0.4,-0.029480816,-0.000270193,0.593736052,-0.02255443,0.85,Tropical_montane_forests,25.7,5.53,94.8
G2745,0,17,19,9,0,5,14,0,20,29,37,13,83,56,34,0,0,0,0,0,9.1,78.6,12.3,6,1.71,10,22.37,21.21,0,0.2,2.17E-05,26.62,27.28,0.19,-5.411349861,-2.17E-05,-4.906601869,0.00314161,1.33,Savannas,13.3,1.05,24.2
G2745X,0,138,49,13,0,34,31,0,76,88,21,8,31,142,20,2,0,0,0,0,14.2,61.4,24.4,5.9,1.2,23,0.06,-0.72,1.46E-06,0.19,6.22E-05,-1.32,0.1,0.19,0.602525516,-6.07E-05,-0.038059715,0.006722472,1.02,Temperate_deciduous_forests,44.6,8.79,107.3
G2747,0,16,14,13,0,6,13,0,10,30,15,8,75,39,12,0,0,0,0,0,21.4,60.6,18,6.1,1.26,21,23.16,22.04,0,0.08,1.67E-05,26.85,27.55,0.09,-4.816892003,-1.67E-05,-4.390376725,-0.016746296,1.31,Savannas,17.8,1.95,29.6
G2751,0,25,23,15,0,5,20,1,19,26,52,12,159,55,66,0,0,0,0,0,15.5,67.4,17.1,6.2,1.32,4,17.86,16.86,0,0.13,2.04E-06,23.53,23.82,0.12,-6.67586632,-2.04E-06,-5.965262491,0.004045221,1.43,Savannas,10.6,1.28,14
G2755,0,22,40,15,0,18,19,0,21,34,30,10,49,73,23,0,0,0,0,0,17,59.1,23.9,6,1.61,10,25.42,24.65,0,0.14,1.14E-06,24.43,24.82,0.15,0.221262801,-1.14E-06,0.599727115,-0.008151168,1.33,Dry_tropical_forests,14.5,1.05,23
G2755X,0,55,114,62,0,290,246,0,664,599,10,25,14,87,11,3,0,0,0,0,14.1,63.7,22.2,6,1.06,12,14.72,13.25,7.28E-05,0.25,8.19E-05,15.08,16.31,0.18,-1.830985711,-9.16E-06,-1.581938531,0.077220996,0.78,Temperate_coniferous_forests,34.6,8.88,112.9
G2757X,0,150,157,60,0,143,103,2,198,213,21,19,30,195,13,1,0,0,0,0,17.5,56.5,26,5.4,1.04,23,14.3,14.18,0,0.03,7.65E-05,14.16,14.09,0.03,0.020482657,-7.65E-05,0.210197752,0.005907986,0.86,Temperate_coniferous_forests,40.3,9.19,158.9
G2758,0,57,42,26,0,6,23,0,25,36,7,14,33,77,9,0,0,0,0,0,36,33.1,30.9,4.7,0.68,6,25.21,24.8,0.000602005,0.49,0.000300321,24.75,25.55,0.45,0.051297304,0.000301684,-0.342564894,0.042940314,0.9,Moist_tropical_forests,25.5,5.06,76.8
G2760,0,88,38,49,0,11,22,0,40,34,15,15,33,124,20,0,0,0,0,0,37,38,25,4.6,1,10,27.7,26.74,1.99E-05,0.42,0.000349784,26.39,27.61,0.43,0.350731362,-0.000329921,0.087415306,-0.01451737,1.11,Moist_tropical_forests,14.9,3.99,59.4
G2788,0,114,104,42,0,134,43,0,67,109,19,19,28,130,17,2,0,0,0,0,16.1,57.3,26.6,5.1,1.02,12,1.94,0.41,5.22E-05,0.25,6.80E-05,-0.88,0.44,0.25,1.287352495,-1.58E-05,1.49913525,0.00832629,0.84,Temperate_deciduous_forests,36.6,9.6,148.6
G2829,0,59,41,11,0,21,30,0,60,88,21,7,37,91,19,1,0,0,0,0,16.1,55.8,28.1,5.6,1.34,6,9.21,11.99,3.01E-05,0.01,9.78E-05,18.03,18.21,0,-6.039277826,-6.77E-05,-9.007338176,0.002085639,0.92,Temperate_deciduous_forests,49.2,10.32,120.6
